type,text,author
branco,"La forza del branco è nel lupo, la forza del lupo è nel branco",
branco,Sii pulito perché la forza del cacciatore si riconosce dalla lucentezza del suo pelo,
branco,La tana del lupo è la sua casa e rifugio: custodiscila con cura e aprila agli amici,
branco,Prima di metterti in caccia osserva bene il territorio,
branco,"Quando cambi territorio, chiedi il permesso di cacciare per non rovinare la caccia ai tuoi fratelli",
branco,Come la liana cinge il tronco dell'albero così la legge corre avanti e indietro,
branco,Siamo tutti sotto una stessa legge,
branco,Il diritto del branco è il diritto del più debole,
branco,"La tua traccia è la mia traccia, la tua preda è la mia preda, la tua tana è la mia tana",
cerchio,Se qualcosa viene smarrito cercando è sempre possibile ritrovarlo!,
cerchio,Non saresti mai felice se non decidessi di continuare,
cerchio,Dimmi cosa posso fare per te e lo farò volentieri,
cerchio,Quello che i miei occhi possono vedere non è quello che possono vedere i vostri,
cerchio,A ciascuno è chiesto in misura a quello che gli è stato assegnato di dare,
cerchio,Dai buttati anche tu!,
cerchio,Ti devo la gioia di averti potuto aiutare,
cerchio,Il Bosco è il grande abbraccio degli alberi,
cerchio,(Ughetto) cominciava sempre la sua giornata con una risata,
cerchio,Il cielo continua ad essere azzurro anche quando piove,
cerchio,Che il tuo sentiero sia sempre soleggiato e torni presto a passare di qui,
cerchio,Possa il tuo canto levarsi forte e gioioso come ora,
clan,"Come Rover dovrai ricordare che, varcando le soglie dell'adolescenza verso la virilità, avrai superato lo
stadio in cui si impara ad osservare la Legge Scout ma che ormai dovrai applicarla praticamente
usandola come guida alla tua condotta nella vita. Per di più sei ora in situazione di responsabilità tale da
dare l'esempio agli altri, esempio che potrà condurre verso il bene e verso il male, a quanto a fondo tu
mantieni la Promessa che hai fatto sul tuo onore, come Rover, di offrire agli altri buona volontà ed
aiuto.
  ",Baden-Powell
coca,"Ogni uomo e donna che partecipano al nostro lavoro... compie un'opera
che tende sia nel principio che nei dettagli a umanizzare il mondo,
a rendere il più alto servizio contribuendo a compiere ciò che Dio ha chiesto,
il Suo regno di Pace e Buona volontà tra gli uomini.
",Baden-Powell
coca,"Il segreto di ogni sana educazione è di far sì che ogni allievo impari da sé,
invece di istruirlo convogliando dentro di lui una serie di nozioni...
Il metodo è quello di condurre il ragazzo ad affrontare l'obiettivo di fondo della sua formazione,
senza annoiarlo con troppi particolari.
",Baden-Powell
coca,"Il sistema migliore è far sì che i ragazzi imparino da soli
dando loro attività che li interessano,
anziché inculcar loro nozioni sotto forma arida e scheletrica istruzione.
Dobbiamo ricordarci che la grande maggioranza dei ragazzi
è già stanca per le ore passate in scuola o bottega
e che quindi la nostra attività deve essere sotto forma di ricreazione,
ed in quanto possibile all'aperto.
  ",Baden-Powell
gruppo,...vi terrete sempre pronti in spirito e corpo per compiere il vostro dovere...,Baden-Powell
gruppo,Guida da te la tua canoa!,Baden-Powell
gruppo,...nessun profumo vale l'odore di quel fuoco...,Baden-Powell
gruppo,"Essere buoni è qualche cosa, fare il bene è molto meglio.",Baden-Powell
gruppo,Un sorriso fa fare il doppio di strada di un brontolio!,Baden-Powell
gruppo,"Quando sei a corto di idee, risparmia il cervello e serviti delle orecchie...",Baden-Powell
gruppo,Sforzati sempre di vedere ciò che splende dietro le nuvole più nere...,Baden-Powell
gruppo,"'Andiamo', non 'vai', se vuoi che un lavoro sia fatto...",Baden-Powell
gruppo,"Gioca, non stare a guardare!",Baden-Powell
gruppo,Gioca nella squadra di Dio!,Baden-Powell
gruppo,"Se sei un piolo quadrato, datti da fare per trovare un buco quadrato!",Baden-Powell
gruppo,"...le stelle sono là, molto al di sopra dei comignoli delle case...",Baden-Powell
gruppo,Un viso sveglio e sorridente rallegra coloro che lo incontrano...,Baden-Powell
gruppo,Abituati a vedere le cose anche dal punto di vista dell'altro...,Baden-Powell
gruppo,"La Capo che ci sa fare non spinge, guida!",Baden-Powell
gruppo,Ti è stato dato un corpo meraviglioso da trattare come opera e tempio di Dio!,Baden-Powell
gruppo,Il vero modo di essere felici è quello di procurare la felicità agli altri,Baden-Powell
gruppo,"Quando la strada non c'è, inventala!",Baden-Powell
gruppo,Procurate di lasciare il mondo un po' migliore di come lo avete trovato.,Baden-Powell
gruppo,Una difficoltà non è più tale una volta che ne abbiate riso e l'abbiate affrontata.,Baden-Powell
gruppo,Un colpetto sulla spalla è uno stimolo più efficace di una puntura di spillo.,Baden-Powell
noviziato,"La Legge dei Rovers è la stessa degli Scouts nella lettera e nello spirito
ma deve essere considerata da un diverso punto di vista che è quello dell'uomo.
In entrambi i casi il principio fondamentale della Legge Scout
esclude risolutamente l'egoismo e spalanca la porta alla buona volontà
ed al servizio verso il prossimo.
",Baden-Powell
reparto,"Quando ero giovane c'era in voga una canzone popolare:
<Guida la tua canoa> con il ritornello>
<Non startene inerte triste o adirato
Da solo tu devi guidar la tua canoa>.
Questo era davvero un buon consiglio per la vita.
Nel disegno che ho fatto
sei tu che stai spingendo con la pagaia la canoa
non stai remando in una barca.
La differenza è che nel primo caso tu guardi dinnanzi a te
e vai sempre avanti mentre nel secondo non puoi guardare
dove vai e ti affidi al timone tenuto da altri e perciò
puoi cozzare contro qualche scoglio prima di rendertene conto.
Molta gente tenta di remare attraverso la vita in questo modo.
Altri ancora preferiscono imbarcarsi passivamente
veleggiando trasportati dal vento della fortuna o dalla corrente
del caso: è più facile che remare ma egualmente pericoloso.
Preferisco uno che guardi innanzi a sé e sappia condurre
la sua canoa cioè si apra da solo la propria strada.
Guida tu la tua canoa.
  ",Baden-Powell
